Name_bal,BSE Code_bal,NSE Code_bal,Industry_bal,Current Price_bal,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization_bal,join_key,Name_rat,BSE Code_rat,NSE Code_rat,Industry_rat,Current Price_rat,Market Capitalization_rat,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter,t_1_price,future_return,signal
Caspian Corporat,534732.0,__NA__,Miscellaneous,74.05,38.13,4.22,0.0,22.89,0.0,32.38,86.84,1.53,0.0,1.11,0.3,0.0,0.03,85.56,53.92,0.2,0.0,0.0,86.84,64.45,0.0,0.0,64.0,1.0,4.63,0.0,14.41,4.22,32.38,50.25,0.42,1.53,0.0,,,,,,,,,,,,312.47,534732.0___NA__,Caspian Corporat,534732.0,__NA__,Miscellaneous,74.1,312.68,39.43,0.07,11.54,7.92,1.41,34.13,74.96,3.44,0.0,34.07,346.18,4.22,6.42,,1.59,0.0,4.0,1.0,0.9,3.69,3069.0,74.96,15.99,260.37,3.2,,243.36,13.17,16.48,260.37,,260.37,,25.03,0.0,0.0,0.0,0.0,4.59,2.3,0.75,3.67,3040.0,77.7,0.049291019581364025,Hold
Castrol India,500870.0,CASTROLIND,Chemicals,208.6,76.95,494.56,0.0,1627.13,0.0,76.95,3419.93,541.05,0.0,282.06,258.85,108.36,487.5,2323.82,1215.44,0.0,0.0,36.53,3419.93,1125.97,76.95,532.92,422.82,5.0,1199.79,6.53,706.43,98.91,49.95,1123.3,260.79,503.45,60.76,997.0,801.39,651.02,448.85,0.0,0.0,0.0,0.0,209.21,186.04,146.97,20633.15,500870.0_CASTROLIND,Castrol India,500870.0,CASTROLIND,Chemicals,208.7,20643.05,23.53,3.59,9.73,26.28,0.04,42.54,51.0,6.37,0.0,39.79,19520.21,98.91,21.45,4.95,1.47,0.0,7.0,5.0,1.56,1.53,377234.0,51.0,61.95,30.41,3.67,,-5.31,34.88,65.45,6.39,97.8,30.41,73.78,23.11,9.51,-0.87,0.45,16.37,19.07,60.76,28.07,45.89,339597.0,208.78,0.0008628954937680097,Hold
Catvision Ltd,531158.0,__NA__,Trading,28.7,0.0,5.45,0.0,17.96,0.21,0.0,29.26,11.73,0.0,7.75,3.54,0.0,6.04,18.03,5.28,0.0,0.0,0.19,29.26,12.75,0.0,6.63,3.15,10.0,5.89,0.38,0.83,0.55,0.21,10.91,3.99,11.73,0.0,13.79,15.15,16.39,9.93,6.27,8.04,9.72,2.86,5.14,5.57,4.2,15.63,531158.0___NA__,Catvision Ltd,531158.0,__NA__,Trading,28.91,15.74,,0.0,0.66,-1.01,0.0,-1.27,29.82,-5.37,0.0,34.16,9.85,0.55,42.93,1.99,2.16,0.0,6.0,3.0,0.78,1.1,4587.0,29.82,-2.87,57.23,3.16,,124.63,-1.61,103.08,203.74,20.97,57.23,167.47,69.86,0.0,0.0,0.0,0.31,31.94,0.2,-1.56,-2.24,3870.0,29.06,0.012543554006968622,Hold
CCL Internationa,531900.0,__NA__,Construction,26.7,21.77,19.19,0.0,27.36,10.25,4.25,74.25,36.61,0.0,19.41,18.44,0.0,1.02,54.26,24.95,0.0,0.0,28.64,74.25,48.33,0.0,9.83,16.12,10.0,7.55,0.0,2.75,1.92,14.5,39.02,17.2,36.61,0.0,31.02,32.62,24.48,13.06,9.1,20.9,13.59,13.0,21.48,24.46,23.34,51.25,531900.0___NA__,CCL Internationa,531900.0,__NA__,Construction,26.7,51.25,34.86,0.0,1.1,2.16,0.47,3.21,61.25,4.55,1.7,23.53,65.47,1.92,24.25,2.57,1.78,0.0,5.0,3.0,0.52,1.46,2686.0,60.21,4.3,164.81,2.74,,416.94,3.87,20.44,256.65,35.67,164.81,127.5,38.75,0.01,0.0,0.0,0.0,23.49,-2.96,-3.05,-4.26,2403.0,25.08,-0.06067415730337083,Sell
CCL Products,519600.0,CCL,Tea,597.35,1622.34,26.61,0.0,1647.21,916.1,3.5,3535.91,1600.6,0.0,343.65,1251.53,501.05,0.0,1741.07,1277.21,0.0,0.0,77.66,3535.91,1566.56,1.5,788.42,496.81,2.0,169.81,2.08,99.73,13.3,919.6,1127.37,1256.95,1600.6,54.01,620.04,407.25,333.21,210.91,559.17,416.38,142.0,292.07,798.38,383.0,393.28,7976.3,519600.0_CCL,CCL Products,519600.0,CCL,Tea,598.35,7989.65,31.97,0.92,4.76,8.16,0.97,15.85,46.26,3.79,0.0,30.73,9442.18,13.35,125.35,2.27,0.75,0.0,3.0,0.0,0.87,1.83,55495.0,46.26,11.37,68.33,1.36,,192.11,10.01,229.83,230.3,23.45,68.33,185.42,23.89,8.12,0.35,0.29,21.73,111.42,15.76,11.52,19.68,61202.0,593.17,-0.006997572612371413,Hold
CDG Petchem,534796.0,__NA__,Trading,29.45,11.56,3.08,0.0,-2.19,12.61,2.95,16.96,6.42,0.0,0.94,4.86,0.0,0.01,11.89,11.34,0.0,0.0,0.0,16.96,7.85,0.0,0.62,9.52,10.0,0.19,0.11,3.26,0.31,15.56,11.81,5.49,6.42,0.0,15.51,2.44,0.73,,18.23,2.59,0.07,,6.6,3.31,0.66,9.07,534796.0___NA__,CDG Petchem,534796.0,__NA__,Trading,29.45,9.07,,0.0,10.18,-3.02,13.14,-44.8,62.1,3.52,0.0,34.16,20.44,0.31,2.89,24.45,0.99,0.0,4.0,3.0,2.19,21.05,1531.0,62.1,5.28,85.73,3.16,,68.98,4.25,,61.25,30.23,85.73,5.75,35.8,0.0,0.0,0.0,2.11,5.26,5.51,-1.27,-16.48,1527.0,25.33,-0.13989813242784385,Sell
CEAT,500878.0,CEATLTD,Tyres,2827.75,1791.5,40.45,0.0,4002.16,1801.59,493.88,9994.5,7885.99,0.0,1789.88,6295.5,659.11,182.09,2738.75,4333.16,0.0,0.0,452.33,9994.5,-861.21,162.6,1150.49,1283.22,10.0,59.08,23.96,2332.11,4.05,2295.47,-731.43,6096.11,7885.99,596.07,-678.94,95.32,427.84,481.48,1532.53,1498.02,924.0,1173.79,4763.43,3179.53,2452.53,11438.26,500878.0_CEATLTD,CEAT,500878.0,CEATLTD,Tyres,2851.1,11532.71,17.05,0.43,2.82,6.91,0.44,18.12,47.21,8.85,0.0,27.49,13265.13,4.05,999.41,6.05,0.37,0.0,8.0,4.0,1.22,2.43,114397.0,47.21,15.73,39.22,2.88,,-28.12,11.64,1890.12,-23.07,122.93,39.22,60.65,16.73,20.16,0.17,1.62,15.91,850.34,9.38,2.19,6.14,116509.0,2973.74,0.05162761913181851,Buy
Ceejay Finance,530789.0,__NA__,Finance & Investments,217.0,33.08,3.45,0.0,66.07,0.0,28.37,105.55,1.97,0.0,0.58,6.61,0.0,0.0,1.71,2.72,0.0,0.0,0.0,105.55,-1.01,0.0,0.0,0.0,10.0,1.53,0.0,1.79,0.34,28.37,0.59,1.39,1.97,0.0,2.25,1.95,39.62,31.86,18.43,27.02,26.7,18.9,1.19,1.12,0.91,74.86,530789.0___NA__,Ceejay Finance,530789.0,__NA__,Finance & Investments,217.0,74.86,11.4,0.55,1.08,6.57,0.48,9.89,59.03,11.55,0.0,23.18,106.41,0.34,201.51,,0.63,0.0,3.0,4.0,0.21,1.44,2750.0,59.03,162.37,0.0,1.78,,-44.77,11.64,293.84,0.0,,0.0,,40.98,0.0,0.0,0.0,0.0,183.51,14.06,7.67,11.34,2904.0,211.4,-0.025806451612903198,Hold
Ceenik Exports,531119.0,__NA__,Textiles - Products,753.0,13.62,3.35,0.0,6.37,13.1,0.28,44.25,18.65,0.0,3.24,15.21,0.0,10.09,14.83,24.42,0.2,0.23,0.0,44.25,-3.97,0.0,0.0,11.5,10.0,0.06,0.25,9.35,0.34,13.38,0.47,15.41,18.65,0.0,3.42,5.09,7.23,4.43,14.68,17.24,15.9,18.51,15.04,16.52,18.81,252.27,531119.0___NA__,Ceenik Exports,531119.0,__NA__,Textiles - Products,745.0,249.59,437.84,0.14,25.66,1.58,1.4,6.04,61.84,1.0,0.0,30.63,263.15,0.34,29.01,,0.61,0.0,4.0,2.0,0.0,3.71,1435.0,61.84,15.07,,5.02,,,5.74,33.33,,,,,38.16,0.0,0.0,0.0,0.0,27.31,3.84,-1.95,-5.84,1147.0,869.93,0.15528552456839304,Buy
Ceeta Industries,514171.0,__NA__,Food - Processing - Indian,34.0,13.29,1.45,0.0,23.09,3.5,8.1,39.12,19.58,0.0,1.58,17.45,0.0,0.83,9.02,9.39,0.0,0.0,0.44,39.12,7.73,0.0,1.61,0.19,1.0,0.14,0.0,0.35,1.45,11.6,7.88,18.01,19.58,0.0,2.96,6.11,2.27,5.7,0.75,0.77,0.56,0.0,0.71,1.66,2.41,49.3,514171.0___NA__,Ceeta Industries,514171.0,__NA__,Food - Processing - Indian,34.0,49.3,,0.0,2.02,-4.07,0.54,-6.32,71.91,-2.12,0.0,38.34,62.45,1.45,16.92,2.69,0.79,0.0,4.0,4.0,0.3,1.6,20048.0,71.91,-3.09,5.91,3.49,,235.98,-3.43,,111.15,29.23,5.91,134.47,27.86,0.0,0.0,0.0,0.23,18.0,-2.31,-4.23,-5.35,20103.0,34.05,0.0014705882352940341,Hold
Ceinsys Tech,538734.0,__NA__,Computers - Software - Medium / Small,539.65,9.08,16.34,0.0,217.75,44.68,12.19,326.08,69.02,0.0,28.94,43.86,0.0,43.7,228.89,87.82,0.0,0.0,63.6,326.08,146.93,4.43,0.64,99.31,10.0,29.13,1.53,50.5,1.54,56.87,162.95,40.08,69.02,0.0,141.16,146.51,124.31,35.74,86.65,121.8,117.75,42.81,22.64,28.33,28.36,881.74,538734.0___NA__,Ceinsys Tech,538734.0,__NA__,Computers - Software - Medium / Small,535.0,874.15,24.97,0.39,3.73,10.96,0.04,16.19,55.36,6.45,14.65,34.11,854.1,1.63,143.27,12.08,2.6,0.0,8.0,3.0,0.79,1.36,11596.0,47.25,20.08,143.31,3.7,,169.99,16.67,262.77,-459.11,610.15,143.31,7.73,44.65,0.0,-0.05,0.0,0.0,128.5,15.78,10.08,17.07,11401.0,544.6,0.009172611878069203,Hold
Celebrity Fash.,532695.0,CELEBRITY,Textiles - Products,19.45,67.16,56.55,12.38,-22.58,59.3,14.67,142.63,70.2,0.0,44.26,30.62,0.0,0.0,104.69,88.11,0.0,0.0,0.0,142.63,63.38,13.43,36.49,55.71,10.0,3.58,2.83,12.98,5.41,73.97,79.83,25.94,70.2,0.0,59.14,46.13,32.47,4.89,62.02,64.91,93.16,93.05,27.7,30.04,40.21,109.99,532695.0_CELEBRITY,Celebrity Fash.,532695.0,CELEBRITY,Textiles - Products,19.33,109.31,60.75,0.0,3.22,1.11,1.98,5.93,35.32,6.75,70.93,31.14,172.89,5.66,6.01,3.12,0.77,92.17,4.0,1.0,2.12,4.76,20400.0,10.27,12.19,59.35,2.37,,63.71,8.03,6.63,100.84,22.91,59.35,64.4,49.15,15.53,3.9,0.0,0.0,4.94,12.78,3.4,29.51,20378.0,18.61,-0.04318766066838046,Hold
Cell Point,-1.0,CELLPOINT,Trading,34.55,48.78,13.65,0.0,53.43,44.8,11.13,134.12,28.64,0.0,10.48,33.22,0.0,0.0,71.07,60.38,0.0,0.0,2.27,134.12,58.36,0.0,55.09,0.4,10.0,12.0,0.0,9.19,1.37,55.93,42.14,18.17,28.64,0.0,17.15,,,,38.58,,,,19.33,,,64.56,-1.0_CELLPOINT,Cell Point,-1.0,CELLPOINT,Trading,34.55,64.56,38.19,0.0,0.9,1.8,0.68,8.42,73.06,8.34,0.0,60.14,101.34,1.87,38.6,5.88,0.26,0.0,2.0,4.0,3.42,4.68,2314.0,73.06,8.77,0.15,5.58,,35.97,6.31,28.03,47.28,14.99,0.15,62.12,26.94,0.0,0.0,0.0,0.0,,26.1,7.6,40.25,2460.0,33.87,-0.019681620839363236,Hold
Cella Space,532701.0,__NA__,Miscellaneous,12.37,57.72,20.15,9.66,-40.93,42.15,5.73,41.73,47.21,0.0,8.06,37.84,0.0,0.01,1.88,6.94,0.0,0.0,5.47,41.73,0.78,0.0,0.0,0.37,10.0,0.12,0.02,0.77,2.02,47.88,-0.85,39.15,47.21,0.0,-0.93,-7.7,21.94,24.09,37.84,16.02,53.35,45.19,26.75,9.39,9.66,24.92,532701.0___NA__,Cella Space,532701.0,__NA__,Miscellaneous,12.37,24.92,67.36,0.0,,0.86,,,58.5,4.94,0.0,34.07,82.52,2.02,-10.31,,0.27,0.0,6.0,0.0,0.18,-2.06,7367.0,58.5,10.07,17.36,3.2,,30.96,9.73,,17.36,,17.36,,41.49,0.0,0.0,0.0,0.0,-10.44,10.77,2.59,,7457.0,11.19,-0.09539207760711396,Sell
Cellecor Gadgets,-1.0,CELLECOR,Trading,307.5,74.74,0.11,0.0,68.97,9.74,11.1,185.85,1.71,0.0,0.48,1.09,0.0,0.0,183.69,95.47,0.0,0.0,0.0,185.85,162.61,0.0,92.1,18.9,10.0,4.45,4.59,14.64,0.01,20.84,33.27,1.24,1.71,0.02,0.08,,,,0.0,,,,0.0,,,644.76,-1.0_CELLECOR,Cellecor Gadgets,-1.0,CELLECOR,Trading,310.0,650.0,40.41,0.0,7.23,22.98,0.83,116.51,51.54,4.1,0.0,60.14,720.29,2.1,42.89,8.08,0.96,0.0,4.0,4.0,7.15,5.07,1065.0,51.54,62.56,5.21,5.58,,24.15,15.66,86.06,28.56,21.8,5.21,45.15,43.78,0.77,-3.64,-2.14,3.91,,66.54,17.01,99.5,2020.0,327.24,0.06419512195121954,Buy
Cello World,544012.0,CELLO,Trading,881.0,370.71,106.12,0.0,1043.1,24.16,310.95,1971.78,440.0,0.0,168.29,361.92,180.01,169.77,1323.18,553.46,0.0,176.13,31.87,1971.78,1107.09,7.97,462.15,610.58,5.0,65.06,16.28,144.19,19.5,335.11,811.94,271.71,440.0,25.65,10.62,,,,334.07,,,,259.21,,,18697.54,544012.0_CELLO,Cello World,544012.0,CELLO,Trading,881.9,18716.64,56.51,0.0,16.29,20.24,0.32,44.57,78.06,2.51,0.0,34.16,19022.29,21.22,54.15,2.13,1.56,0.0,6.0,3.0,1.14,1.53,132505.0,78.06,24.38,111.42,3.16,,190.15,24.22,137.86,233.78,55.49,111.42,177.86,5.07,4.43,1.41,-0.31,12.44,,48.13,19.8,125.45,151407.0,934.31,0.060510783200908,Buy
Cenlub Industrie,522251.0,__NA__,Engineering,394.95,4.16,4.66,0.0,51.25,4.88,0.0,77.64,28.58,0.0,8.81,17.43,0.0,0.0,23.48,20.07,0.0,0.0,11.47,77.64,7.55,0.0,9.16,9.54,10.0,3.95,0.64,7.59,0.47,4.88,14.0,19.77,28.58,0.0,14.32,12.0,14.68,12.88,8.03,10.19,16.91,14.27,20.08,20.87,20.5,184.16,522251.0___NA__,Cenlub Industrie,522251.0,__NA__,Engineering,394.95,184.16,20.53,0.0,3.29,12.78,0.07,17.39,51.26,6.71,0.0,43.13,184.37,0.47,119.9,5.31,0.71,0.0,8.0,7.0,1.02,1.26,8532.0,51.26,37.16,48.69,5.46,,18.37,16.25,227.81,63.33,70.78,48.69,85.42,48.73,0.0,0.0,0.0,0.0,101.29,18.81,10.89,15.18,7830.0,417.73,0.05767818711229277,Buy
Centenial Surgic,531380.0,__NA__,Healthcare,114.15,0.0,5.42,0.0,26.79,9.92,0.0,79.15,23.78,0.0,17.31,12.77,0.0,0.0,65.32,32.85,0.0,0.0,0.1,79.15,32.47,0.0,42.52,18.8,10.0,0.68,2.88,24.16,0.36,9.92,40.22,6.46,23.78,0.0,41.38,26.08,23.45,27.39,13.47,13.1,15.24,11.32,8.97,4.08,3.71,41.66,531380.0___NA__,Centenial Surgic,531380.0,__NA__,Healthcare,114.15,41.66,36.87,0.0,1.29,1.55,0.0,3.57,46.89,9.13,0.0,42.74,40.98,0.36,88.29,0.43,0.69,0.0,7.0,2.0,0.7,2.26,1072.0,46.89,7.36,134.05,5.67,,226.67,4.73,78.44,526.86,516.91,134.05,909.72,53.12,0.0,0.0,0.0,0.0,85.19,8.03,1.39,2.91,1016.0,112.17,-0.01734559789750332,Hold
Central Bank,532885.0,CENTRALBK,Banks - Public Sector,62.59,405553.66,8680.94,0.0,23693.47,20012.88,385540.78,447771.58,9834.04,4084.72,4488.8,5345.24,0.0,144010.02,49733.51,9767.35,0.0,0.0,106356.87,447771.58,39966.16,0.0,0.0,0.0,10.0,37607.8,0.0,991.46,868.09,368109.04,46356.68,4785.59,8867.91,0.0,44047.21,40310.43,85793.77,12287.42,336087.97,305951.06,306932.53,262481.08,5141.79,4319.8,4299.93,54334.02,532885.0_CENTRALBK,Central Bank,532885.0,CENTRALBK,Banks - Public Sector,62.67,54403.47,20.27,0.0,1.67,0.63,12.53,8.71,93.08,5.23,0.0,9.46,422349.33,868.09,37.29,,5.09,0.0,5.0,6.0,0.07,13.2,643550.0,93.08,5.29,0.0,1.18,,27.9,4.93,50.78,0.0,,0.0,,3.95,0.17,0.1,0.01,2.8,33.66,4.29,0.43,5.92,529591.0,58.08,-0.0720562390158173,Sell
Centrum Capital,501150.0,CENTRUM,Finance & Investments,39.19,10774.52,41.6,156.04,399.02,1310.1,3818.69,17384.41,615.37,0.0,105.05,445.43,222.55,3913.85,997.86,4776.15,2520.62,0.0,65.5,17384.41,-3778.29,0.0,0.0,42.6,1.0,794.04,45.76,188.28,41.6,5128.79,-3495.85,510.32,615.37,5.45,236.84,106.09,572.58,185.23,1943.33,1821.13,391.1,186.34,169.47,175.18,110.24,1630.44,501150.0_CENTRUM,Centrum Capital,501150.0,CENTRUM,Finance & Investments,39.13,1627.94,,0.0,3.7,-0.5,24.45,-14.19,38.49,7.87,32.29,23.18,11608.42,41.6,10.59,,0.21,0.0,6.0,4.0,0.15,33.05,43633.0,26.06,9.21,7.05,1.78,,-756.25,5.25,,7.05,,7.05,0.0,57.12,0.67,-0.15,0.0,0.0,14.26,6.0,-1.51,-23.6,41655.0,41.2,0.05128859402908919,Buy
Centum Electron,517544.0,CENTUM,Electronics - Components,1649.0,226.27,12.89,0.0,190.38,188.18,119.91,1063.8,546.43,0.0,326.59,248.4,0.29,8.47,760.03,705.48,0.0,0.0,29.82,1063.8,195.37,52.58,317.38,227.98,10.0,71.58,108.27,237.77,1.29,308.09,210.7,219.84,546.43,28.17,272.77,287.81,205.53,119.28,374.26,356.53,278.56,52.84,252.56,204.78,250.43,2126.7,517544.0_CENTUM,Centum Electron,517544.0,CENTUM,Electronics - Components,1649.0,2126.7,,0.23,10.45,-0.74,1.11,-3.82,58.79,2.08,0.0,81.92,2281.39,1.29,157.72,1.82,0.63,0.0,5.0,2.0,1.02,5.25,23497.0,58.79,-3.73,76.28,10.27,,41.42,4.45,,131.58,165.15,76.28,220.45,33.15,0.37,-0.01,0.44,7.69,163.54,7.65,0.67,3.23,25466.0,1468.86,-0.10924196482716804,Sell
Century Enka,500280.0,CENTENKA,Textiles - Manmade,579.0,52.25,21.85,0.0,1345.79,63.78,4.06,1687.51,948.35,0.0,303.5,806.3,3.65,344.8,794.59,174.02,72.0,110.18,3.26,1687.51,636.09,3.52,269.22,196.99,10.0,4.15,4.04,128.62,2.19,67.84,378.19,644.85,948.35,106.17,388.35,372.29,328.09,338.63,13.15,38.35,52.53,194.81,491.61,548.37,568.81,1265.11,500280.0_CENTENKA,Century Enka,500280.0,CENTENKA,Textiles - Manmade,580.3,1267.95,27.65,1.71,0.9,2.77,0.04,3.41,24.86,5.04,0.0,26.24,1316.05,2.19,625.91,5.31,3.02,0.0,6.0,4.0,1.05,1.21,41079.0,24.86,3.46,41.22,1.98,,132.25,3.91,543.84,85.92,40.89,41.22,85.58,65.96,2.91,-0.04,0.0,6.27,604.94,8.42,5.36,6.55,42429.0,585.22,0.010742659758203847,Hold
Century Extrus.,500083.0,CENTEXT,Aluminium and Aluminium Products,20.76,48.07,8.0,0.0,65.05,46.69,0.0,159.25,90.88,0.0,66.34,29.38,0.39,0.0,116.95,81.29,0.0,0.0,28.15,159.25,79.43,0.0,39.63,35.35,1.0,16.13,0.0,28.46,8.0,46.69,80.49,24.54,90.88,0.13,58.41,57.65,38.07,21.97,39.86,54.73,36.39,38.61,28.35,24.37,30.4,166.08,500083.0_CENTEXT,Century Extrus.,500083.0,CENTEXT,Aluminium and Aluminium Products,20.58,164.64,22.73,0.0,2.25,4.96,0.66,10.48,52.04,10.25,13.54,23.13,196.58,8.0,9.13,7.95,0.95,0.0,6.0,7.0,2.57,2.0,38593.0,44.99,12.53,34.4,2.36,,61.6,12.51,13.83,48.56,36.09,34.4,50.25,47.82,0.14,-0.22,0.0,0.0,8.14,17.67,5.15,11.17,52256.0,19.83,-0.04479768786127183,Hold
Century Plyboard,532548.0,CENTURYPLY,Miscellaneous,754.0,771.04,22.25,0.0,2189.43,222.6,104.15,3552.57,1575.29,0.0,506.5,1913.41,266.63,2.8,1277.18,1084.55,0.0,0.0,80.9,3552.57,754.28,52.68,645.6,416.79,1.0,67.14,0.0,286.11,22.22,326.75,851.3,1068.8,1575.29,236.21,461.5,526.49,590.96,426.93,164.7,531.92,611.43,580.09,761.93,842.54,312.06,16751.84,532548.0_CENTURYPLY,Century Plyboard,532548.0,CENTURYPLY,Miscellaneous,753.75,16746.28,51.45,0.13,7.59,10.38,0.35,15.77,72.59,2.66,0.0,34.7,17450.18,22.22,99.54,3.47,0.58,0.0,3.0,4.0,1.24,1.42,71157.0,72.59,13.05,39.15,3.14,,64.54,13.23,181.37,103.62,51.31,39.15,115.78,6.61,6.28,0.83,-0.24,14.51,86.15,27.05,16.01,22.78,65541.0,787.79,0.04481432360742701,Hold
Century Textiles,500040.0,CENTURYTEX,Paper,2327.7,2501.69,111.69,0.0,3867.44,638.62,420.69,10510.16,7879.26,0.0,3963.34,3734.73,57.22,691.65,6020.86,3501.75,0.0,0.0,188.36,10510.16,2647.21,20.15,4725.77,165.63,10.0,401.5,1484.49,748.27,11.17,1059.31,1185.54,3915.92,7879.26,226.1,521.22,57.96,-604.85,,1048.51,1020.15,5700.09,,4139.21,4430.45,7309.4,25999.39,500040.0_CENTURYTEX,Century Textiles,500040.0,CENTURYTEX,Paper,2316.95,25879.32,101.4,0.22,6.51,3.22,0.63,6.49,50.21,1.74,0.0,8.71,27979.51,11.17,356.23,0.77,0.37,0.0,5.0,4.0,0.48,2.38,69463.0,50.21,2.24,13.39,1.1,,181.61,4.62,190.42,565.97,103.95,13.39,656.53,24.68,7.46,1.04,-0.85,16.54,347.97,6.32,2.19,4.65,68301.0,2180.38,-0.06328994286205256,Sell
Cera Sanitary.,532443.0,CERA,Ceramics - Tiles / Sanitaryware,8655.35,40.09,6.5,0.0,1336.04,16.29,23.8,1825.17,613.31,0.0,257.66,355.65,12.96,807.47,639.62,380.53,0.0,0.0,7.94,1825.17,282.35,23.8,358.64,201.34,5.0,34.12,12.27,182.05,1.3,45.6,264.74,320.41,556.25,16.97,109.56,240.65,184.85,124.57,27.82,18.19,34.18,48.25,329.78,305.02,266.39,11257.05,532443.0_CERA,Cera Sanitary.,532443.0,CERA,Ceramics - Tiles / Sanitaryware,8649.9,11249.96,47.0,0.7,8.41,13.75,0.03,19.05,54.48,2.83,0.0,56.36,11255.93,1.3,1032.25,2.49,0.74,0.0,5.0,4.0,1.08,1.3,34804.0,54.48,38.14,39.27,1.55,,48.42,17.52,2066.65,112.34,75.32,39.27,148.38,16.98,21.93,1.3,-1.77,6.61,898.98,25.78,13.79,19.55,34878.0,8537.75,-0.013586972219494342,Hold
Cerebra Integr.,532413.0,CEREBRAINT,Computers - Hardware,6.57,39.07,111.99,0.0,100.1,0.02,41.01,352.33,11.94,0.0,2.11,9.42,2.91,0.28,194.29,142.23,0.0,0.25,0.51,352.33,91.13,0.0,30.48,120.95,10.0,1.05,3.07,55.32,12.12,41.03,130.17,9.83,11.94,2.91,142.64,239.69,134.19,55.46,18.15,3.66,3.31,6.64,9.87,8.66,6.4,79.63,532413.0_CEREBRAINT,Cerebra Integr.,532413.0,CEREBRAINT,Computers - Hardware,6.63,80.36,,0.0,0.37,-9.5,0.18,-15.11,0.84,-30.99,0.0,115.53,118.38,12.12,17.5,1.24,1.15,0.0,3.0,4.0,0.14,1.77,39538.0,0.84,-31.66,849.3,4.42,,632.54,-10.4,,656.36,429.7,849.3,236.76,99.09,0.01,0.0,0.0,0.0,21.49,3.36,0.66,1.05,39696.0,6.41,-0.024353120243531222,Hold
CESC,500084.0,CESC,Power Generation And Supply,160.8,14544.0,133.0,0.0,11312.0,13848.86,413.98,37168.0,31151.47,0.0,8325.58,22131.0,174.0,57.0,6597.0,6805.0,0.0,16.8,493.3,37168.0,3332.0,181.0,878.0,2256.0,1.0,2711.0,47.99,1272.0,132.56,14262.84,3652.1,22825.89,31151.47,140.42,2940.35,243.19,1168.94,-250.25,14277.08,14478.82,15599.38,11916.39,24197.47,23648.54,26626.19,21315.15,500084.0_CESC,CESC,500084.0,CESC,Power Generation And Supply,160.8,21315.15,15.51,2.81,1.86,3.86,1.27,12.31,52.11,8.74,0.0,38.17,33148.15,132.56,86.34,11.35,0.84,0.0,7.0,2.0,0.41,3.27,363776.0,52.11,9.85,53.84,2.52,,14.82,7.85,142.01,53.84,,53.84,,13.83,12.91,0.96,-0.32,21.12,82.31,11.39,3.61,12.24,327212.0,150.99,-0.061007462686567177,Sell
CFF Fluid,543920.0,__NA__,Engineering,884.0,23.48,14.27,0.0,106.46,23.34,22.55,161.16,33.66,0.0,7.38,30.22,8.49,0.0,121.59,28.68,0.0,0.0,1.11,161.16,110.0,0.0,52.68,8.82,10.0,17.27,1.03,2.59,1.43,45.89,44.23,26.28,33.66,0.0,20.63,,,,22.61,,,,9.04,,,1721.52,543920.0___NA__,CFF Fluid,543920.0,__NA__,Engineering,880.0,1713.73,100.3,0.06,13.61,19.27,0.19,68.39,73.3,1.67,0.0,92.06,1719.94,1.95,64.67,1.47,2.4,0.0,4.0,3.0,1.21,3.55,2558.0,73.3,26.67,27.77,12.36,,145.68,16.39,113.0,214.14,62.3,27.77,248.67,26.62,0.0,-0.07,0.08,0.08,,34.34,14.03,50.95,1720.0,932.41,0.05476244343891399,Buy
